"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2026","718,497","731,647","728,815","716,386","","-1.26%"
"06/28/2026","727,635","731,647","732,456","726,602","","-0.64%"
"06/26/2026","732,303","721,550","733,941","716,132","","1.48%"
"06/25/2026","721,599","717,004","724,790","711,128","","0.64%"
"06/24/2026","717,017","733,506","735,639","709,917","","-2.24%"
"06/23/2026","733,455","747,485","749,314","729,791","","-1.86%"
"06/22/2026","747,341","738,862","751,624","735,434","","1.03%"
"06/19/2026","739,693","745,309","747,679","735,475","","-0.74%"
"06/18/2026","745,214","754,962","773,762","743,858","","-1.30%"
"06/17/2026","755,045","766,439","777,299","748,249","","-1.49%"
"06/16/2026","766,437","762,560","770,658","761,448","","0.49%"
"06/15/2026","762,683","753,968","773,756","753,897","","1.15%"
"06/12/2026","754,033","757,453","763,527","744,452","","-0.45%"
"06/11/2026","757,467","731,020","758,800","722,327","","3.62%"
"06/10/2026","731,011","769,346","770,087","730,103","","-4.97%"
"06/09/2026","769,250","786,452","789,910","764,920","","-2.25%"
"06/08/2026","786,949","779,966","790,018","774,571","","0.90%"
"06/05/2026","779,963","806,566","807,884","776,701","","-3.30%"
"06/04/2026","806,539","795,761","813,927","793,848","","1.35%"
"06/03/2026","795,788","801,048","804,712","794,264","","-0.67%"
"06/02/2026","801,184","801,369","810,261","797,499","","-0.02%"
"06/01/2026","801,369","811,185","812,448","794,700","","-1.20%"
"05/29/2026","811,143","799,426","821,181","798,088","","1.47%"
"05/28/2026","799,415","792,420","803,120","776,348","","0.89%"
"05/27/2026","792,390","801,366","806,953","782,578","","-1.13%"
"05/26/2026","801,410","810,537","812,502","797,013","","-1.15%"
"05/25/2026","810,694","800,347","811,910","799,886","","1.59%"
"05/22/2026","797,973","801,531","803,899","794,821","","-0.45%"
"05/21/2026","801,591","799,965","806,080","792,189","","0.20%"
"05/20/2026","800,015","793,464","801,517","786,454","","0.83%"
"05/19/2026","793,464","805,727","809,864","790,366","","-1.52%"
"05/18/2026","805,712","792,173","808,942","782,487","","1.62%"
"05/15/2026","792,867","812,342","814,870","787,954","","-2.39%"
"05/14/2026","812,305","818,907","824,162","811,057","","-0.81%"
"05/13/2026","818,909","824,831","827,002","813,084","","-0.71%"
"05/12/2026","824,795","824,475","831,125","811,450","","0.04%"
"05/11/2026","824,477","818,564","826,763","809,555","","0.70%"
"05/08/2026","818,737","812,125","824,969","810,966","","0.79%"
"05/07/2026","812,300","815,433","826,042","812,108","","-0.41%"
"05/06/2026","815,619","793,569","821,188","791,724","","2.78%"
"05/05/2026","793,572","785,354","798,790","783,210","","1.01%"
"05/04/2026","785,629","799,960","802,188","781,797","","-1.64%"
"05/01/2026","798,735","800,156","806,753","789,326","","-0.18%"
"04/30/2026","800,208","785,291","804,485","784,407","","1.90%"
"04/29/2026","785,308","791,286","798,068","779,321","","-0.76%"
"04/28/2026","791,348","805,041","808,243","784,080","","-1.68%"
"04/27/2026","804,874","809,810","814,773","802,250","","-0.58%"
"04/24/2026","809,573","811,213","815,024","803,659","","-0.20%"
"04/23/2026","811,183","813,944","819,914","806,206","","-0.35%"
"04/22/2026","814,044","809,179","819,836","806,965","","0.61%"
"04/21/2026","809,145","827,547","829,885","800,274","","-2.24%"
"04/20/2026","827,691","830,115","830,161","814,009","","-0.29%"
"04/17/2026","830,068","820,268","840,294","816,667","","1.19%"
"04/16/2026","820,285","820,801","829,624","817,660","","-0.08%"
"04/15/2026","820,952","828,858","833,806","820,144","","-0.97%"
"04/14/2026","828,965","810,888","829,559","810,637","","2.22%"
"04/13/2026","810,951","811,268","812,317","793,694","","-0.06%"
"04/10/2026","811,441","814,226","819,537","808,534","","-0.35%"
"04/09/2026","814,278","802,738","820,339","799,225","","1.43%"
"04/08/2026","802,835","804,488","830,159","799,378","","-0.20%"
"04/07/2026","804,438","792,007","806,560","786,400","","1.58%"
"04/06/2026","791,929","794,543","801,781","781,931","","-0.35%"
"04/03/2026","794,733","794,733","794,733","794,733","","-0.01%"
"04/02/2026","794,821","808,043","815,209","775,308","","-1.63%"
"04/01/2026","807,985","793,487","813,911","792,226","","1.82%"
"03/31/2026","793,510","766,471","796,623","761,628","","3.53%"
"03/30/2026","766,485","762,069","778,416","749,821","","0.53%"
"03/27/2026","762,423","740,238","772,950","739,458","","2.98%"
"03/26/2026","740,350","761,856","768,467","735,282","","-2.83%"
"03/25/2026","761,907","759,646","781,324","756,651","","0.31%"
"03/24/2026","759,587","748,503","761,429","731,183","","1.48%"
"03/23/2026","748,503","727,714","766,292","717,149","","-1.99%"
"03/20/2026","763,678","789,462","804,200","760,334","","-3.26%"
"03/19/2026","789,417","818,139","826,511","764,622","","-3.53%"
"03/18/2026","818,266","850,048","851,978","816,194","","-3.75%"
"03/17/2026","850,130","850,075","856,412","844,542","","-0.01%"
"03/16/2026","850,180","850,077","856,145","841,494","","-0.01%"
"03/13/2026","850,278","857,741","867,827","848,612","","-0.89%"
"03/12/2026","857,902","873,286","876,953","853,735","","-1.76%"
"03/11/2026","873,251","874,790","880,572","868,796","","-0.21%"
"03/10/2026","875,069","870,616","883,114","866,963","","0.51%"
"03/09/2026","870,641","874,810","878,954","847,739","","-0.40%"
"03/06/2026","874,169","858,116","874,843","855,227","","1.87%"
"03/05/2026","858,112","867,971","876,927","852,581","","-1.14%"
"03/04/2026","868,027","857,816","879,094","856,945","","1.20%"
"03/03/2026","857,725","897,315","907,137","842,108","","-4.41%"
"03/02/2026","897,323","884,890","914,057","884,769","","1.41%"
