"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2026","884,839","868,161","885,119","865,654","","1.93%"
"02/26/2026","868,092","867,063","872,644","859,654","","0.12%"
"02/25/2026","867,044","865,037","875,868","862,425","","0.24%"
"02/24/2026","864,985","877,839","881,468","856,894","","-1.47%"
"02/23/2026","877,861","860,656","879,484","860,014","","1.98%"
"02/20/2026","860,848","842,992","861,033","841,055","","2.13%"
"02/19/2026","842,882","839,814","849,327","837,327","","0.35%"
"02/18/2026","839,929","821,095","845,869","816,953","","2.29%"
"02/17/2026","821,141","840,346","841,686","814,992","","-2.27%"
"02/16/2026","840,234","848,707","848,908","835,886","","-1.00%"
"02/13/2026","848,755","827,718","849,567","822,279","","2.54%"
"02/12/2026","827,718","853,078","855,822","820,411","","-2.97%"
"02/11/2026","853,078","843,968","859,008","842,471","","1.07%"
"02/10/2026","844,008","849,936","852,992","837,906","","-0.69%"
"02/09/2026","849,885","836,665","854,592","836,530","","1.58%"
"02/06/2026","836,696","804,086","838,526","783,519","","4.07%"
"02/05/2026","803,993","832,508","842,545","801,113","","-3.42%"
"02/04/2026","832,498","828,971","854,168","814,152","","0.43%"
"02/03/2026","828,943","782,437","837,041","782,428","","5.94%"
"02/02/2026","782,488","805,395","819,961","740,376","","-4.18%"
"01/30/2026","816,649","900,803","912,940","788,304","","-9.32%"
"01/29/2026","900,604","904,593","939,478","855,920","","-0.44%"
"01/28/2026","904,558","868,322","905,327","864,629","","4.16%"
"01/27/2026","868,461","840,541","870,197","840,506","","3.33%"
"01/26/2026","840,504","839,837","857,744","837,048","","0.31%"
"01/23/2026","837,874","833,414","839,058","823,887","","0.53%"
"01/22/2026","833,445","818,309","834,330","804,738","","1.83%"
"01/21/2026","818,443","807,442","829,286","805,378","","1.36%"
"01/20/2026","807,471","791,362","807,914","789,292","","2.05%"
"01/19/2026","791,271","775,854","793,194","775,854","","1.98%"
"01/16/2026","775,908","779,505","780,301","766,097","","-0.45%"
"01/15/2026","779,442","780,181","781,066","772,762","","-0.12%"
"01/14/2026","780,413","773,694","782,820","773,396","","0.88%"
"01/13/2026","773,598","773,773","781,653","770,073","","-0.03%"
"01/12/2026","773,823","757,610","779,307","757,524","","2.12%"
"01/09/2026","757,768","751,908","758,922","747,595","","0.77%"
"01/08/2026","751,970","747,614","752,158","740,015","","0.58%"
"01/07/2026","747,638","752,828","753,858","742,036","","-0.70%"
"01/06/2026","752,914","744,623","753,339","741,121","","1.12%"
"01/05/2026","744,562","724,087","745,942","724,087","","2.83%"
"01/02/2026","724,059","720,998","736,103","720,134","","0.63%"
"01/01/2026","719,542","719,542","719,542","719,542","","0.00%"
"12/31/2025","719,542","727,098","733,063","713,629","","-1.03%"
"12/30/2025","727,037","727,239","738,195","725,671","","-0.02%"
"12/29/2025","727,163","760,042","762,369","722,384","","-4.25%"
"12/26/2025","759,443","750,560","762,371","749,803","","1.18%"
"12/25/2025","750,563","750,563","750,563","750,563","","0.00%"
"12/24/2025","750,563","752,088","758,962","745,308","","-0.18%"
"12/23/2025","751,895","745,380","754,628","742,898","","0.90%"
"12/22/2025","745,198","726,366","746,198","726,165","","2.60%"
"12/19/2025","726,303","724,174","729,303","720,251","","0.30%"
"12/18/2025","724,144","723,640","731,229","720,183","","0.04%"
"12/17/2025","723,819","718,159","725,652","717,917","","0.76%"
"12/16/2025","718,336","717,615","723,537","712,929","","0.10%"
"12/15/2025","717,630","715,546","725,011","714,129","","0.24%"
"12/12/2025","715,923","713,448","724,460","708,466","","0.35%"
"12/11/2025","713,443","705,479","714,517","700,824","","1.13%"
"12/10/2025","705,490","701,128","707,294","697,714","","0.62%"
"12/09/2025","701,130","699,269","703,542","695,139","","0.24%"
"12/08/2025","699,444","698,412","704,308","697,031","","0.14%"
"12/05/2025","698,444","700,522","708,788","697,540","","-0.30%"
"12/04/2025","700,514","698,510","702,330","694,967","","0.27%"
"12/03/2025","698,597","699,126","705,020","697,107","","-0.09%"
"12/02/2025","699,193","704,659","705,552","691,891","","-0.78%"
"12/01/2025","704,680","704,000","710,293","700,487","","0.01%"
"11/28/2025","704,611","691,820","704,757","691,749","","1.85%"
"11/27/2025","691,820","693,581","694,555","689,488","","-0.25%"
"11/26/2025","693,549","688,216","695,397","687,986","","0.77%"
"11/25/2025","688,228","690,338","692,964","684,679","","-0.30%"
"11/24/2025","690,317","678,746","691,119","674,640","","1.70%"
"11/21/2025","678,761","682,051","684,683","671,549","","-0.49%"
"11/20/2025","682,074","680,675","687,155","675,679","","0.20%"
"11/19/2025","680,688","680,877","689,908","676,986","","-0.03%"
"11/18/2025","680,918","676,376","683,441","669,664","","0.67%"
"11/17/2025","676,359","681,172","685,598","670,142","","-0.69%"
"11/14/2025","681,045","697,572","703,592","673,156","","-2.37%"
"11/13/2025","697,599","700,472","710,009","693,320","","-0.42%"
"11/12/2025","700,539","688,578","703,270","685,518","","1.73%"
"11/11/2025","688,628","685,252","692,710","683,599","","0.48%"
"11/10/2025","685,326","667,344","685,496","667,025","","2.70%"
"11/07/2025","667,318","663,914","671,989","663,487","","0.52%"
"11/06/2025","663,894","665,079","671,071","662,036","","-0.16%"
"11/05/2025","664,931","656,534","666,630","656,127","","1.28%"
"11/04/2025","656,533","666,587","669,007","655,968","","-1.52%"
"11/03/2025","666,641","665,517","671,312","659,021","","0.16%"
"10/31/2025","665,578","669,737","673,254","660,618","","-0.63%"
"10/30/2025","669,777","652,857","670,166","650,643","","2.59%"
"10/29/2025","652,842","656,161","669,651","650,437","","-0.52%"
"10/28/2025","656,245","661,600","667,941","645,352","","-0.82%"
"10/27/2025","661,670","678,486","682,132","659,838","","-3.04%"
"10/24/2025","682,435","685,783","688,849","671,217","","-0.48%"
"10/23/2025","685,749","679,439","690,554","673,854","","0.94%"
"10/22/2025","679,373","684,303","691,562","664,377","","-0.71%"
"10/21/2025","684,265","722,012","725,255","677,945","","-5.23%"
"10/20/2025","722,050","704,803","726,251","699,479","","2.47%"
"10/17/2025","704,646","717,130","726,292","694,190","","-1.75%"
"10/16/2025","717,208","697,077","717,632","695,663","","2.89%"
"10/15/2025","697,077","686,531","698,782","686,279","","1.53%"
"10/14/2025","686,578","680,582","692,503","678,071","","0.86%"
"10/13/2025","680,715","665,045","681,798","663,456","","2.35%"
"10/10/2025","665,061","657,902","665,800","654,340","","1.08%"
"10/09/2025","657,977","669,185","671,410","652,666","","-1.67%"
"10/08/2025","669,182","659,092","672,226","658,765","","1.53%"
"10/07/2025","659,102","655,507","660,140","651,799","","0.53%"
"10/06/2025","655,619","642,792","657,075","642,208","","2.01%"
"10/03/2025","642,689","639,645","643,517","637,251","","0.49%"
"10/02/2025","639,559","641,841","646,350","633,465","","-0.37%"
"10/01/2025","641,932","643,127","646,839","640,125","","-0.18%"
"09/30/2025","643,114","639,013","646,408","632,133","","0.65%"
"09/29/2025","638,977","628,910","639,224","628,556","","1.57%"
"09/26/2025","629,098","627,553","633,042","625,610","","0.23%"
"09/25/2025","627,626","622,745","629,702","622,480","","0.76%"
"09/24/2025","622,887","627,386","630,294","619,860","","-0.72%"
"09/23/2025","627,411","622,052","631,789","620,670","","0.85%"
"09/22/2025","622,098","611,492","622,513","611,113","","1.76%"
"09/19/2025","611,355","601,574","611,562","599,507","","1.63%"
"09/18/2025","601,569","601,458","606,258","598,783","","0.03%"
"09/17/2025","601,407","606,636","609,175","598,946","","-0.87%"
"09/16/2025","606,657","603,695","608,810","601,193","","0.48%"
"09/15/2025","603,735","596,682","604,814","593,946","","1.19%"
"09/12/2025","596,656","598,127","601,823","595,746","","-0.24%"
"09/11/2025","598,115","599,258","600,669","594,865","","-0.19%"
"09/10/2025","599,258","597,333","602,069","596,326","","0.33%"
"09/09/2025","597,273","592,747","605,415","591,541","","0.79%"
"09/08/2025","592,592","588,890","594,541","585,418","","0.62%"
"09/05/2025","588,953","582,161","591,175","581,275","","1.18%"
"09/04/2025","582,104","584,251","585,087","577,327","","-0.36%"
"09/03/2025","584,228","579,537","587,442","578,306","","0.80%"
"09/02/2025","579,615","570,709","580,665","569,114","","1.56%"
"09/01/2025","570,684","568,595","575,111","566,728","","0.37%"
"08/29/2025","568,591","558,546","569,578","557,014","","1.80%"
"08/28/2025","558,522","555,815","559,549","553,407","","0.49%"
"08/27/2025","555,815","553,018","556,067","551,287","","0.50%"
"08/26/2025","553,026","547,012","553,052","544,731","","1.07%"
"08/25/2025","547,177","550,868","551,060","545,928","","-0.70%"
"08/22/2025","551,033","543,735","552,130","542,731","","1.35%"
"08/21/2025","543,690","544,514","545,490","541,520","","-0.13%"
"08/20/2025","544,387","538,562","545,043","537,780","","1.07%"
"08/19/2025","538,638","538,582","544,398","537,490","","0.01%"
"08/18/2025","538,584","539,162","542,733","537,081","","-0.08%"
"08/15/2025","538,999","537,364","541,453","536,827","","0.29%"
"08/14/2025","537,446","543,511","546,542","536,455","","-1.12%"
"08/13/2025","543,508","545,387","546,213","542,480","","-0.32%"
"08/12/2025","545,254","543,808","547,885","542,459","","0.26%"
"08/11/2025","543,835","553,566","554,690","543,551","","-1.78%"
"08/08/2025","553,694","553,350","555,298","550,538","","0.07%"
"08/07/2025","553,283","551,170","554,302","549,224","","0.38%"
"08/06/2025","551,214","553,804","554,539","549,411","","-0.48%"
"08/05/2025","553,871","552,950","555,383","548,711","","0.15%"
"08/04/2025","553,046","554,678","555,316","548,730","","-0.27%"
"08/01/2025","554,540","541,382","554,649","539,978","","2.40%"
"07/31/2025","541,523","536,829","545,479","536,572","","0.87%"
"07/30/2025","536,853","544,953","546,557","535,649","","-1.56%"
"07/29/2025","545,370","541,623","546,627","540,518","","0.68%"
"07/28/2025","541,664","544,105","546,665","539,490","","-0.52%"
"07/25/2025","544,504","548,533","550,456","542,482","","-0.74%"
"07/24/2025","548,537","551,719","552,796","545,776","","-0.58%"
"07/23/2025","551,725","559,727","560,915","550,837","","-1.43%"
"07/22/2025","559,723","554,133","560,014","551,502","","1.03%"
"07/21/2025","554,040","545,490","554,841","544,815","","1.53%"
"07/18/2025","545,682","545,305","547,573","543,336","","0.06%"
"07/17/2025","545,333","544,589","545,978","540,506","","0.14%"
"07/16/2025","544,586","540,520","549,518","540,113","","0.76%"
"07/15/2025","540,494","543,351","548,020","539,876","","-0.51%"
"07/14/2025","543,278","543,993","548,462","542,762","","-0.13%"
"07/11/2025","543,994","539,186","546,097","538,726","","0.90%"
"07/10/2025","539,168","538,220","540,306","536,919","","0.17%"
"07/09/2025","538,227","535,036","538,771","533,208","","0.60%"
"07/08/2025","535,024","541,582","543,072","532,685","","-1.21%"
"07/07/2025","541,569","539,924","542,175","535,007","","0.30%"
"07/04/2025","539,971","538,519","541,658","538,088","","0.27%"
"07/03/2025","538,528","545,290","546,608","536,163","","-1.25%"
"07/02/2025","545,348","540,451","545,677","539,286","","0.90%"
"07/01/2025","540,481","536,222","543,675","535,903","","0.79%"
"06/30/2025","536,232","530,300","537,310","526,283","","1.07%"
"06/27/2025","530,567","539,309","539,536","527,558","","-1.61%"
"06/26/2025","539,271","542,882","544,120","536,354","","-0.66%"
"06/25/2025","542,858","543,508","545,264","539,524","","-0.12%"
"06/24/2025","543,518","555,338","555,711","538,794","","-2.13%"
"06/23/2025","555,343","551,711","559,464","548,685","","0.63%"
"06/20/2025","551,885","552,611","552,977","547,587","","-0.13%"
"06/19/2025","552,611","549,110","553,991","548,837","","0.63%"
"06/18/2025","549,160","551,606","555,007","548,093","","-0.43%"
"06/17/2025","551,527","550,461","553,981","548,026","","0.18%"
"06/16/2025","550,521","559,170","562,453","550,147","","-1.57%"
"06/13/2025","559,325","549,670","561,692","548,709","","1.76%"
"06/12/2025","549,675","545,395","551,854","542,112","","0.79%"
"06/11/2025","545,387","540,632","546,301","539,387","","0.86%"
"06/10/2025","540,739","541,549","544,928","537,254","","-0.08%"
"06/09/2025","541,193","538,947","543,329","536,049","","0.46%"
"06/06/2025","538,730","545,598","549,401","538,194","","-1.27%"
"06/05/2025","545,649","549,472","553,927","543,454","","-0.70%"
"06/04/2025","549,493","546,110","551,390","544,698","","0.62%"
"06/03/2025","546,116","548,909","551,117","542,792","","-0.59%"
"06/02/2025","549,356","535,908","549,607","535,844","","2.52%"
"05/30/2025","535,844","540,506","541,309","532,935","","-0.87%"
"05/29/2025","540,530","535,605","542,610","528,699","","0.95%"
"05/28/2025","535,452","537,134","541,753","533,710","","-0.30%"
"05/27/2025","537,074","543,066","544,075","534,665","","-1.07%"
"05/26/2025","542,893","543,983","544,275","539,803","","-0.29%"
"05/23/2025","544,490","538,050","545,945","536,465","","1.16%"
"05/22/2025","538,245","543,538","548,115","535,550","","-0.97%"
"05/21/2025","543,516","540,063","545,157","539,316","","0.64%"
"05/20/2025","540,054","530,705","541,035","525,596","","1.78%"
"05/19/2025","530,617","529,006","534,286","527,144","","0.78%"
"05/16/2025","526,536","535,091","537,112","518,570","","-1.61%"
"05/15/2025","535,170","525,851","535,249","516,213","","1.77%"
"05/14/2025","525,856","536,323","537,957","524,295","","-2.03%"
"05/13/2025","536,778","534,247","539,287","531,116","","0.47%"
"05/12/2025","534,246","549,121","549,194","529,746","","-2.69%"
"05/09/2025","549,024","545,226","552,863","542,106","","0.69%"
"05/08/2025","545,275","556,359","565,889","542,454","","-1.99%"
"05/07/2025","556,352","564,506","565,648","552,753","","-1.44%"
"05/06/2025","564,465","547,990","565,086","546,131","","3.00%"
"05/05/2025","548,010","532,494","548,569","532,134","","2.95%"
"05/02/2025","532,292","538,006","538,591","529,660","","-1.06%"
"05/01/2025","538,006","546,048","546,296","531,547","","-1.44%"
"04/30/2025","545,894","555,934","557,833","542,337","","-1.81%"
"04/29/2025","555,971","563,657","564,487","552,950","","-1.36%"
"04/28/2025","563,631","560,170","565,203","550,778","","0.88%"
"04/25/2025","558,688","565,035","568,712","549,542","","-1.10%"
"04/24/2025","564,922","554,665","567,944","554,482","","1.87%"
"04/23/2025","554,553","569,716","570,860","549,883","","-2.68%"
"04/22/2025","569,852","575,462","589,980","567,463","","-0.89%"
"04/21/2025","574,983","561,014","576,568","559,905","","2.73%"
"04/18/2025","559,692","559,692","559,692","559,692","","0.00%"
"04/17/2025","559,672","562,479","564,984","552,510","","-0.50%"
"04/16/2025","562,466","543,146","562,822","542,493","","3.54%"
"04/15/2025","543,230","538,618","543,823","538,280","","0.91%"
"04/14/2025","538,316","543,713","544,799","535,694","","-0.93%"
"04/11/2025","543,360","533,726","545,114","533,211","","1.89%"
"04/10/2025","533,297","519,910","533,687","517,929","","2.61%"
"04/09/2025","519,710","503,017","522,793","500,892","","3.36%"
"04/08/2025","502,826","494,021","509,801","493,232","","1.81%"
"04/07/2025","493,870","503,096","506,054","489,612","","-1.78%"
"04/04/2025","502,835","515,819","519,503","499,389","","-2.51%"
"04/03/2025","515,793","519,094","524,627","505,774","","-0.55%"
"04/02/2025","518,630","515,749","520,043","514,157","","0.61%"
"04/01/2025","515,466","517,307","521,492","513,500","","-0.32%"
"03/31/2025","517,095","511,130","518,044","509,488","","1.25%"
"03/28/2025","510,695","505,903","511,195","505,628","","0.93%"
"03/27/2025","506,004","500,609","506,695","500,251","","1.11%"
"03/26/2025","500,441","501,155","502,805","499,453","","-0.07%"
"03/25/2025","500,802","498,454","503,813","498,128","","0.52%"
"03/24/2025","498,225","498,800","502,185","497,037","","-0.10%"
"03/21/2025","498,744","501,659","502,102","494,912","","-0.54%"
"03/20/2025","501,464","503,638","505,037","498,461","","-0.39%"
"03/19/2025","503,421","498,470","504,392","497,256","","1.04%"
"03/18/2025","498,229","492,128","499,065","491,842","","1.30%"
"03/17/2025","491,853","488,178","492,367","487,761","","0.83%"
"03/14/2025","487,807","490,728","491,331","486,969","","-0.59%"
"03/13/2025","490,705","482,743","491,048","481,723","","1.75%"
"03/12/2025","482,266","478,307","483,619","477,525","","0.88%"
"03/11/2025","478,075","471,492","479,389","470,648","","1.35%"
"03/10/2025","471,685","474,538","476,791","470,641","","-0.55%"
"03/07/2025","474,280","475,564","477,534","472,891","","-0.23%"
"03/06/2025","475,384","476,186","477,802","472,155","","-0.12%"
"03/05/2025","475,968","479,766","480,032","472,114","","-0.74%"
"03/04/2025","479,522","476,799","481,534","473,832","","0.65%"
"03/03/2025","476,425","473,642","477,169","471,146","","0.56%"
"02/28/2025","473,788","473,299","476,824","469,650","","0.17%"
"02/27/2025","472,997","477,427","478,462","471,764","","-0.89%"
"02/26/2025","477,230","476,364","479,211","473,254","","0.24%"
"02/25/2025","476,074","480,597","481,367","472,053","","-0.90%"
"02/24/2025","480,416","478,782","481,149","476,232","","0.39%"
"02/21/2025","478,573","479,999","481,737","475,567","","-0.25%"
"02/20/2025","479,779","479,074","482,863","477,521","","0.17%"
"02/19/2025","478,967","477,711","481,356","476,479","","0.31%"
"02/18/2025","477,500","469,830","478,071","468,927","","1.66%"
"02/17/2025","469,710","468,865","471,320","467,985","","0.22%"
"02/14/2025","468,674","478,879","479,857","467,794","","-2.09%"
"02/13/2025","478,671","475,252","479,159","474,617","","0.76%"
"02/12/2025","475,067","474,550","476,084","468,694","","0.17%"
"02/11/2025","474,278","475,205","482,187","471,887","","-0.19%"
"02/10/2025","475,161","466,129","475,901","464,601","","2.08%"
"02/07/2025","465,493","466,426","469,853","464,252","","-0.16%"
"02/06/2025","466,239","466,852","469,043","462,857","","-0.09%"
"02/05/2025","466,674","464,339","469,420","463,489","","0.48%"
"02/04/2025","464,453","462,764","465,108","459,168","","0.44%"
"02/03/2025","462,432","456,628","465,389","452,859","","1.32%"
"01/31/2025","456,423","454,505","459,263","454,033","","0.47%"
"01/30/2025","454,270","446,252","455,085","446,008","","1.81%"
"01/29/2025","446,187","446,949","447,417","443,888","","-0.14%"
"01/28/2025","446,791","443,224","447,198","442,265","","0.88%"
"01/27/2025","442,872","448,091","448,466","441,477","","-1.17%"
"01/24/2025","448,111","448,520","450,572","447,891","","-0.03%"
"01/23/2025","448,235","448,845","449,498","445,396","","-0.13%"
"01/22/2025","448,818","448,374","450,468","447,276","","0.11%"
"01/21/2025","448,306","443,193","448,702","442,127","","1.21%"
"01/20/2025","442,935","442,265","444,551","440,035","","0.22%"
"01/17/2025","441,974","444,267","444,891","441,595","","-0.44%"
"01/16/2025","443,935","440,124","445,788","439,412","","0.90%"
"01/15/2025","439,960","435,474","440,289","434,164","","1.07%"
"01/14/2025","435,306","433,463","435,672","432,614","","0.53%"
"01/13/2025","433,021","435,271","438,160","432,383","","-0.50%"
"01/10/2025","435,208","432,583","436,763","431,111","","0.68%"
"01/09/2025","432,257","430,859","433,944","430,315","","0.32%"
"01/08/2025","430,898","427,260","432,504","426,800","","0.89%"
"01/07/2025","427,114","426,981","429,790","425,486","","0.07%"
"01/06/2025","426,820","427,578","429,107","423,435","","-0.08%"
"01/03/2025","427,142","430,415","432,444","426,833","","-0.72%"
"01/02/2025","430,256","422,752","430,912","421,933","","1.91%"
"01/01/2025","422,171","422,171","422,171","422,171","","0.00%"
"12/31/2024","422,171","420,556","422,953","418,924","","0.42%"
"12/30/2024","420,417","425,406","426,521","418,849","","-1.13%"
"12/27/2024","425,226","426,283","428,927","423,945","","-0.20%"
"12/26/2024","426,078","423,475","427,319","423,227","","0.74%"
"12/25/2024","422,946","422,946","422,946","422,946","","0.00%"
"12/24/2024","422,946","422,701","425,053","422,248","","0.14%"
"12/23/2024","422,358","424,658","425,985","421,838","","-0.46%"
"12/20/2024","424,306","422,573","426,226","421,020","","0.45%"
"12/19/2024","422,387","416,032","427,894","415,684","","1.58%"
"12/18/2024","415,800","425,105","427,145","415,764","","-2.16%"
"12/17/2024","424,968","424,522","426,916","422,991","","0.18%"
"12/16/2024","424,214","423,711","426,373","422,790","","0.16%"
"12/13/2024","423,521","426,959","430,584","423,199","","-0.74%"
"12/12/2024","426,691","432,362","433,893","426,000","","-1.26%"
"12/11/2024","432,154","427,360","433,102","425,258","","1.21%"
"12/10/2024","426,988","422,086","427,688","421,684","","1.24%"
"12/09/2024","421,752","417,731","424,631","416,454","","1.09%"
"12/06/2024","417,185","417,437","419,342","414,430","","0.01%"
"12/05/2024","417,126","422,140","422,413","416,096","","-1.14%"
"12/04/2024","421,950","421,353","423,318","419,356","","0.18%"
"12/03/2024","421,180","419,603","423,320","418,824","","0.45%"
"12/02/2024","419,274","420,498","421,690","415,591","","-0.25%"
"11/29/2024","420,322","419,158","423,171","418,034","","0.32%"
"11/28/2024","418,988","419,936","420,574","416,046","","-0.26%"
"11/27/2024","420,066","419,468","423,482","418,491","","0.18%"
"11/26/2024","419,320","416,491","420,878","413,460","","0.79%"
"11/25/2024","416,053","431,022","432,026","415,112","","-3.35%"
"11/22/2024","430,488","425,152","430,675","424,841","","1.40%"
"11/21/2024","424,546","420,339","425,812","420,097","","1.00%"
"11/20/2024","420,358","416,698","421,296","415,456","","0.93%"
"11/19/2024","416,498","413,893","417,862","413,063","","0.67%"
"11/18/2024","413,740","406,140","414,504","406,140","","1.92%"
"11/15/2024","405,952","406,723","409,450","405,808","","-0.10%"
"11/14/2024","406,377","405,834","408,668","402,226","","0.17%"
"11/13/2024","405,683","410,023","413,143","405,827","","-1.01%"
"11/12/2024","409,835","410,637","414,129","408,670","","-0.12%"
"11/11/2024","410,320","420,710","420,976","409,345","","-2.40%"
